name,jersey_number,position,status,height,weight,age,experience,college,team,data_source,scraped_at,twitter_handle,instagram_handle,tiktok_handle,youtube_handle,twitter_followers,instagram_followers,tiktok_followers,youtube_subscribers,twitter_following,instagram_following,tiktok_following,twitter_verified,instagram_verified,twitter_url,instagram_url,tiktok_url,youtube_url,draft_pick,draft_round,draft_team,draft_year,contract_value,contract_years,current_salary,cap_hit,guaranteed_money,championships,all_pros,pro_bowls,awards,career_pass_yards,career_pass_tds,career_pass_ints,career_pass_rating,career_rush_yards,career_rush_tds,career_receptions,career_rec_yards,career_rec_tds,career_tackles,career_sacks,career_interceptions,career_games,career_starts,career_pass_attempts,career_pass_completions,passing_yards_2023,passing_tds_2023,rushing_yards_2023,rushing_tds_2023,receiving_yards_2023,receiving_tds_2023,tackles_2023,sacks_2023,interceptions_2023,birth_date,birth_place,high_school,rookie_of_year,mvp_awards,hall_of_fame,signing_bonus,dead_money,wikipedia_url,nfl_com_url,espn_url,pff_url,spotrac_url,google_news_url,news_headline_count,recent_headlines,news_bio_snippets,data_sources,last_updated,data_quality_score,comprehensive_enhanced,brand_power,proof,proximity,velocity,risk,total_gravity
Alex Palczewski,63.0,OT,ACT,"6'6""",315,25.0,3,Illinois,broncos,real_data_only,2025-07-21T14:32:02.232241,,,,,,,,,,,,,,,,,,,,Undrafted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Draft Analysis']",2025-07-21T14:32:02.232225,0.9,True,6.0,31.2,10.5,48.8,67.0,27.0
Alex Forsyth,54.0,C,ACT,"6'4""",312,25.0,3,Oregon,broncos,real_data_only,2025-07-21T14:13:41.128221,,,,,,,,,,,,,,,,,,257.0,7.0,Denver Broncos,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1999-02-13) February 13, 1999 (age 26)West Linn, Oregon, U.S.",,West Linn,,,,,,https://en.wikipedia.org/wiki/Alex_Forsyth_(American_football),https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Wikipedia', 'Vision-Enhanced Social Media', 'AI Draft Analysis']",2025-07-21T14:13:41.128205,1.3,True,6.0,31.2,10.5,48.8,67.0,27.0
Frank Crum,73.0,OT,ACT,"6'7""",315,24.0,2,Wyoming,broncos,real_data_only,2025-07-21T14:09:15.335481,,,,,,,,,,,,,,,,,,,,Undrafted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Draft Analysis']",2025-07-21T14:09:15.335468,0.9,True,6.0,29.2,10.5,47.7,67.0,26.2
Devon Key,26.0,SAF,ACT,"6'0""",208,24.0,2,Western Kentucky,broncos,real_data_only,2025-07-21T14:22:29.544378,,,,,,,,,,,,,,,,,,,,Undrafted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Draft Analysis']",2025-07-21T14:22:29.544361,0.9,True,6.0,29.2,10.5,47.7,67.0,26.2
Keidron Smith,43.0,DB,ACT,"6'2""",210,24.0,2,Kentucky,broncos,real_data_only,2025-07-21T14:40:33.126588,,,,,,,,,,,,,,,,,,,,Undrafted,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Draft Analysis']",2025-07-21T14:40:33.126573,1.0,True,6.0,29.2,10.5,47.7,67.0,26.2
Will Sherman,78.0,OT,ACT,"6'4""",300,23.0,1,Colorado,broncos,real_data_only,2025-07-21T14:38:53.235296,,,,,,,,,,,,,,,,,,197.0,6.0,New England Patriots,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Draft Analysis']",2025-07-21T14:38:53.235284,1.1,True,6.0,27.1,10.5,46.5,59.0,24.6
Nick Gargiulo,66.0,G,ACT,"6'5""",310,23.0,1,South Carolina,broncos,real_data_only,2025-07-21T14:16:22.019990,,,,,,,,,,,,,,,,,,,,Undrafted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Draft Analysis']",2025-07-21T14:16:22.019979,0.9,True,6.0,27.1,10.5,46.5,59.0,24.6
Jarrett Stidham,8.0,QB,ACT,"6'3""",215,28.0,6,Auburn,broncos,real_data_only,2025-07-21T14:41:07.579259,,,,,,,,,,,,,,,,,,133.0,4.0,New England Patriots,2019.0,10000000.0,2.0,5400000.0,,5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Contract Analysis', 'AI Draft Analysis']",2025-07-21T14:41:07.579244,1.3,True,7.8,15.0,11.6,47.5,86.0,24.5
D.J. Jones,93.0,DT,ACT,"6'0""",305,31.0,9,Mississippi,broncos,real_data_only,2025-07-21T14:21:19.073852,,,,,,,,,,,,,,,,,,198.0,6.0,San Francisco 49ers,2017.0,30000000.0,3.0,13566000.0,,20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Contract Analysis', 'AI Draft Analysis']",2025-07-21T14:21:19.073840,1.3,True,6.0,18.8,10.5,37.4,86.0,23.4
Zach Allen,99.0,DE,ACT,"6'5""",285,29.0,7,Boston College,broncos,real_data_only,2025-07-21T14:02:03.515451,,,,,,,,,,,,,,,,,,65.0,3.0,Arizona Cardinals,2019.0,45500000.0,3.0,15500000.0,,32000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Contract Analysis', 'AI Draft Analysis']",2025-07-21T14:02:03.515437,1.3,True,6.0,16.0,10.5,41.6,86.0,23.3
Sam Ehlinger,4.0,QB,ACT,"6'2""",222,27.0,5,Texas,broncos,real_data_only,2025-07-21T14:10:51.440626,,,,,,,,,,,,,,,,,,218.0,6.0,Indianapolis Colts,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Draft Analysis']",2025-07-21T14:10:51.440611,1.1,True,7.8,12.5,11.6,28.9,86.0,20.9
Jeremy Crawshaw,39.0,P,ACT,"6'3""",205,,R,Florida,broncos,real_data_only,2025-07-21T14:08:42.947200,,,,,,,,,,,,,,,,,,,,Undrafted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Draft Analysis']",2025-07-21T14:08:42.947188,0.8,True,6.0,25.0,10.5,20.0,65.0,20.6
