name,team,position,jersey_number,height,weight,age,birth_date,college,draft_year,draft_round,draft_pick,years_pro,games_played,games_started,twitter_handle,instagram_handle,twitter_followers,instagram_followers,wikipedia_url,career_highlights,awards,data_source,scraped_at,brand_power,proof,proximity,velocity,risk,total_gravity
T.J. Hockenson,vikings,TE,87.0,"6'5""",248,,,Iowa,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.679796,600.0,0.0,1160.0,0.0,7250.0,11.1
Sam Howell,vikings,QB,8.0,"6'1""",225,,,North Carolina,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.680015,780.0,0.0,1160.0,0.0,8300.0,12.6
Joe Huber,vikings,G,60.0,"6'5""",310,,,Wisconsin,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.680350,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Tyrion Ingram-Dawkins,vikings,DT,90.0,"6'5""",276,,,Georgia,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.680588,600.0,0.0,1050.0,0.0,7250.0,10.8
Donovan Jackson,vikings,G,74.0,"6'4""",315,,,Ohio State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.680828,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Lucky Jackson,vikings,WR,81.0,"6'0""",186,,,Western Kentucky,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.681053,720.0,0.0,1050.0,0.0,5750.0,9.7
Theo Jackson,vikings,SAF,25.0,"6'1""",198,,,Tennessee,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.681213,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Justin Jefferson,vikings,WR,18.0,"6'1""",195,,,LSU,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.681514,720.0,0.0,1050.0,0.0,6350.0,10.2
Aaron Jones,vikings,RB,33.0,"5'9""",208,,,Texas-El Paso,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.682097,600.0,0.0,1050.0,0.0,4510.0,8.1
Jeshaun Jones,vikings,WR,82.0,"6'1""",188,,,Maryland,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.682340,720.0,0.0,1050.0,0.0,5750.0,9.7
Tim Jones,vikings,WR,14.0,"6'1""",200,,,Southern Mississippi,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.682608,720.0,0.0,1050.0,0.0,6350.0,10.2
Michael Jurgens,vikings,C,65.0,"6'4""",311,,,Wake Forest,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.682903,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Marcellus Johnson,vikings,OT,79.0,"6'4""",307,,,Missouri,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.681852,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Ryan Kelly,vikings,C,78.0,"6'4""",307,,,Alabama,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.683286,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Vershon Lee,vikings,G,,"6'4""",310,,,South Carolina,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.684071,600.0,2500.0,1050.0,2000.0,5950.0,20.1
Robert Lewis,vikings,WR,85.0,"5'10""",188,,,Auburn,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.684353,720.0,0.0,1050.0,0.0,5750.0,9.7
Jordan Mason,vikings,RB,27.0,"5'11""",223,,,Georgia Tech,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.684682,600.0,0.0,1050.0,0.0,4510.0,8.1
Austin Keys,vikings,LB,56.0,"6'2""",247,,,Auburn,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.683532,600.0,0.0,1050.0,0.0,6050.0,9.7
Kobe King,vikings,LB,41.0,"6'1""",236,,,Penn State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.683771,600.0,0.0,1050.0,0.0,6050.0,9.7
Dorian Mausi,vikings,LB,52.0,"6'1""",234,,,Auburn,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.685371,600.0,0.0,1050.0,0.0,6050.0,9.7
J.J. McCarthy,vikings,QB,9.0,"6'3""",219,,,Michigan,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.685643,780.0,0.0,1160.0,0.0,8300.0,12.6
Josh Metellus,vikings,SAF,44.0,"5'11""",207,,,Michigan,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.686226,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Rondale Moore,vikings,WR,4.0,"5'7""",180,,,Purdue,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.686443,720.0,0.0,1050.0,0.0,6350.0,10.2
