name,jersey_number,position,status,height,weight,age,experience,college,team,data_source,scraped_at,brand_power,proof,proximity,velocity,risk,total_gravity
Andrew Farmer,53.0,LB,ACT,"6'4""",250,,2,Lane College,broncos,nfl.com,2025-07-21T13:58:17.700472,6.0,4.6,10.5,0.0,59.5,10.9
Levelle Bailey,56.0,LB,ACT,"6'2""",225,,2,Fresno State,broncos,nfl.com,2025-07-21T13:58:17.700331,6.0,4.6,10.5,0.0,59.5,10.9
Jordan Miller,90.0,DT,ACT,"6'3""",307,,1,SMU,broncos,nfl.com,2025-07-21T13:58:17.700694,6.0,2.1,10.5,0.0,66.5,10.9
Dondrea Tillman,92.0,LB,ACT,"6'3""",270,,2,"Indiana PA,  University of",broncos,nfl.com,2025-07-21T13:58:17.700932,6.0,4.6,10.5,0.0,59.5,10.9
Jonah Elliss,52.0,LB,ACT,"6'2""",246,,2,Utah,broncos,nfl.com,2025-07-21T13:58:17.700449,6.0,4.6,10.5,0.0,59.5,10.9
Saivion Jones,95.0,DE,ACT,"6'5""",289,,R,LSU,broncos,nfl.com,2025-07-21T13:58:17.700598,6.0,0.0,10.5,0.0,72.5,10.8
Damarri Mathis,27.0,CB,ACT,"5'11""",195,,4,Pittsburgh,broncos,nfl.com,2025-07-21T13:58:17.700645,6.0,8.3,10.5,0.0,44.0,10.5
Pat Bryant,13.0,WR,ACT,"6'2""",204,,R,Illinois,broncos,nfl.com,2025-07-21T13:58:17.700379,7.2,0.0,10.5,0.0,63.5,10.2
Jaleel McLaughlin,38.0,RB,ACT,"5'7""",187,,3,Youngstown State,broncos,nfl.com,2025-07-21T13:58:17.700662,6.0,6.2,10.5,0.0,44.0,9.9
Kyrese Rowan,,WR,ACT,"5'10""",185,,R,Utah State,broncos,nfl.com,2025-07-21T13:58:17.701017,7.2,0.0,10.5,0.0,59.5,9.8
Johnny Walker Jr.,59.0,LB,ACT,"6'3""",250,,R,Missouri,broncos,nfl.com,2025-07-21T13:58:17.700987,6.0,0.0,10.5,0.0,60.5,9.7
J.B. Brown,50.0,LB,ACT,"6'2""",230,,R,Kansas,broncos,nfl.com,2025-07-21T13:58:17.700372,6.0,0.0,10.5,0.0,60.5,9.7
Joaquin Davis,80.0,WR,ACT,"6'4""",195,,R,North Carolina Central,broncos,nfl.com,2025-07-21T13:58:17.700426,7.2,0.0,10.5,0.0,57.5,9.7
Que Robinson,51.0,LB,ACT,"6'4""",243,,R,Alabama,broncos,nfl.com,2025-07-21T13:58:17.700830,6.0,0.0,10.5,0.0,60.5,9.7
Karene Reid,47.0,LB,ACT,"6'0""",227,,R,Utah,broncos,nfl.com,2025-07-21T13:58:17.700809,6.0,0.0,10.5,0.0,60.5,9.7
Jerjuan Newton,81.0,WR,ACT,"5'11""",192,,R,Toledo,broncos,nfl.com,2025-07-21T13:58:17.700724,7.2,0.0,10.5,0.0,57.5,9.7
Courtney Jackson,89.0,WR,ACT,"5'11""",179,,R,Arkansas State,broncos,nfl.com,2025-07-21T13:58:17.700566,7.2,0.0,10.5,0.0,57.5,9.7
Jordan Turner,,LB,ACT,"6'1""",231,,R,Michigan State,broncos,nfl.com,2025-07-21T13:58:17.700955,6.0,0.0,10.5,0.0,59.5,9.6
JaQuan McMillian,29.0,CB,ACT,"5'10""",183,,3,East Carolina,broncos,nfl.com,2025-07-21T13:58:17.700671,6.0,6.2,10.5,0.0,40.0,9.5
Riley Moss,21.0,CB,ACT,"6'0""",193,,3,Iowa,broncos,nfl.com,2025-07-21T13:58:17.700708,6.0,6.2,10.5,0.0,40.0,9.5
Blake Watson,25.0,RB,ACT,"5'9""",195,,2,Memphis,broncos,nfl.com,2025-07-21T13:58:17.700995,6.0,4.2,10.5,0.0,44.0,9.2
Audric Estimé,23.0,RB,ACT,"5'11""",227,,2,Notre Dame,broncos,nfl.com,2025-07-21T13:58:17.700465,6.0,4.2,10.5,0.0,44.0,9.2
Tyler Badie,28.0,RB,ACT,"5'8""",197,,2,Missouri,broncos,nfl.com,2025-07-21T13:58:17.700323,6.0,4.2,10.5,0.0,44.0,9.2
Mario Goodrich,,CB,ACT,"6'0""",186,,2,Clemson,broncos,nfl.com,2025-07-21T13:58:17.700527,6.0,4.2,10.5,0.0,40.0,8.8
Kris Abrams-Draine,31.0,CB,ACT,"5'11""",178,,2,Missouri,broncos,nfl.com,2025-07-21T13:58:17.700271,6.0,4.2,10.5,0.0,40.0,8.8
RJ Harvey,,RB,ACT,"5'9""",220,,R,UCF,broncos,nfl.com,2025-07-21T13:58:17.700542,6.0,0.0,10.5,0.0,44.0,8.0
Joshua Pickett,25.0,CB,ACT,"6'0""",188,,R,Duke,broncos,nfl.com,2025-07-21T13:58:17.700763,6.0,0.0,10.5,0.0,41.0,7.7
Jahdae Barron,,CB,ACT,"5'11""",200,,R,Texas,broncos,nfl.com,2025-07-21T13:58:17.700348,6.0,0.0,10.5,0.0,40.0,7.6
Jaden Robinson,,CB,ACT,"6'0""",193,,R,Oregon State,broncos,nfl.com,2025-07-21T13:58:17.700823,6.0,0.0,10.5,0.0,40.0,7.6
Quinton Newsome,36.0,CB,ACT,"6'1""",185,,1,Nebraska,broncos,nfl.com,2025-07-21T13:58:17.700716,6.0,2.1,10.5,0.0,32.0,7.4
Reese Taylor,35.0,CB,ACT,"5'9""",188,,1,Purdue,broncos,nfl.com,2025-07-21T13:58:17.700915,6.0,2.1,10.5,0.0,32.0,7.4
