name,jersey_number,position,status,height,weight,experience,college,team,data_source,scraped_at,data_quality_score
Tip Reiman,87.0,TE,ACT,"6'5""",271,2,Illinois,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Darius Robinson,56.0,DL,ACT,"6'5""",285,2,Missouri,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Jammie Robinson,26.0,SAF,ACT,"5'11""",195,3,Florida State,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
J.J. Russell,51.0,ILB,ACT,"6'1""",225,4,Memphis,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Chad Ryland,38.0,K,ACT,"6'0""",195,3,Maryland,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Valentin Senn,69.0,OT,ACT,"6'7""",310,R,Connecticut,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Elijah Simmons,96.0,DL,ACT,"6'1""",334,R,Tennessee,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Cody Simon,50.0,LB,ACT,"6'2""",229,R,Ohio State,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Dante Stills,55.0,DT,ACT,"6'4""",286,3,West Virginia,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Josh Sweat,10.0,OLB,ACT,"6'5""",265,8,Florida State,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Dadrion Taylor-Demerson,42.0,DB,ACT,"5'10""",197,2,Texas Tech,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Xavier Thomas,54.0,LB,ACT,"6'2""",245,2,Clemson,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Starling Thomas V,24.0,CB,ACT,"5'10""",194,3,UAB,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Jalen Thompson,34.0,DB,ACT,"5'11""",190,7,Washington State,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Dalvin Tomlinson,94.0,DE,ACT,"6'3""",325,9,Alabama,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Clayton Tune,15.0,QB,ACT,"6'3""",220,3,Houston,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Travis Vokolek,81.0,TE,ACT,"6'6""",260,2,Nebraska,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Mykal Walker,43.0,LB,ACT,"6'3""",230,6,Fresno State,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Quez Watkins,16.0,WR,ACT,"6'0""",193,5,Southern Mississippi,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Xavier Weaver,89.0,WR,ACT,"6'1""",169,2,Colorado,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Benton Whitley,49.0,LB,ACT,"6'4""",260,4,Holy Cross,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Jonah Williams,73.0,OT,ACT,"6'5""",312,7,Alabama,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Garrett Williams,21.0,CB,ACT,"5'10""",192,3,Syracuse,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Mack Wilson,2.0,LB,ACT,"6'1""",246,7,Alabama,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Michael Wilson,14.0,WR,ACT,"6'2""",213,3,Stanford,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
