name,team,position,jersey_number,height,weight,age,birth_date,college,draft_year,draft_round,draft_pick,years_pro,games_played,games_started,twitter_handle,instagram_handle,twitter_followers,instagram_followers,wikipedia_url,career_highlights,awards,data_source,scraped_at
Mac Dalena,chiefs,WR,84.0,"5'11""",180,,,Fresno State,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.456291
Michael Danna,chiefs,DE,51.0,"6'2""",257,,,Michigan,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.456752
Kristian Fulton,chiefs,CB,8.0,"5'11""",197,,,LSU,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.458221
Mike Edwards,chiefs,SAF,34.0,"5'10""",205,,,Kentucky,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.457305
Ethan Driskell,chiefs,OT,75.0,"6'8""",313,,,Marshall,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.456992
Brandon George,chiefs,LB,50.0,"6'3""",240,,,Pittsburgh,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.458714
Malik Herring,chiefs,DE,94.0,"6'3""",275,,,Georgia,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.460551
Noah Gray,chiefs,TE,83.0,"6'3""",240,,,Duke,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.459876
Chukwuebuka Godrick,chiefs,OT,72.0,"6'5""",293,,,,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.459420
Creed Humphrey,chiefs,C,52.0,"6'4""",302,,,Oklahoma,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.461284
Ashton Gillotte,chiefs,DE,97.0,"6'3""",270,,,Louisville,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.459125
Jaden Hicks,chiefs,SAF,21.0,"6'1""",215,,,Washington State,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.460747
Jimmy Holiday,chiefs,WR,,"6'1""",211,,,Louisiana Tech,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.461034
Kareem Hunt,chiefs,RB,29.0,"5'11""",216,,,Toledo,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.461655
Keaontay Ingram,chiefs,RB,30.0,"6'0""",221,,,USC,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.461903
Coziah Izzard,chiefs,DT,93.0,"6'3""",305,,,Penn State,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.462210
Nazeeh Johnson,chiefs,SAF,13.0,"5'10""",199,,,Marshall,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.462394
C.J. Hanson,chiefs,G,61.0,"6'5""",300,,,Holy Cross,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.460289
Chris Jones,chiefs,DE,95.0,"6'6""",310,,,Mississippi State,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.464737
Cam Jones,chiefs,LB,44.0,"6'2""",227,,,Indiana,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.463349
George Karlaftis,chiefs,DE,56.0,"6'4""",263,,,Purdue,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.466174
Kevin Knowles,chiefs,DB,38.0,"5'11""",190,,,Florida State,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.466409
Travis Kelce,chiefs,TE,87.0,"6'5""",250,,,Cincinnati,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.466298
Fabien Lovett Sr.,chiefs,DT,96.0,"6'3""",316,,,Florida State,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.466903
Patrick Mahomes,chiefs,QB,15.0,"6'2""",225,,,Texas Tech,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.467159
Gardner Minshew,chiefs,QB,17.0,"6'1""",225,,,Washington State,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.468617
Elijah Mitchell,chiefs,RB,25.0,"5'10""",200,,,Louisiana-Lafayette,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.468807
Jaylon Moore,chiefs,OT,77.0,"6'4""",311,,,Western Michigan,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.468956
Glendon Miller,chiefs,SAF,25.0,"6'2""",206,,,Maryland,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.468279
Skyy Moore,chiefs,WR,24.0,"5'10""",195,,,Western Michigan,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.469165
Cooper McDonald,chiefs,LB,,"6'3""",240,,,TCU,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.467310
Trent McDuffie,chiefs,CB,22.0,"5'11""",193,,,Washington,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.467656
Joey Lombard,chiefs,C,,"6'5""",305,,,South Dakota,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.466566
Omarr Norman-Lott,chiefs,DT,55.0,"6'3""",315,,,Tennessee,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.470497
Hunter Nourzad,chiefs,C,60.0,"6'3""",317,,,Penn State,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.470792
Chris Oladokun,chiefs,QB,19.0,"6'1""",213,,,South Dakota State,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.470943
Charles Omenihu,chiefs,DE,90.0,"6'5""",280,,,Texas,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.471464
Wanya Morris,chiefs,OT,64.0,"6'6""",307,,,Oklahoma,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.469621
Isiah Pacheco,chiefs,RB,10.0,"5'10""",216,,,Rutgers,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.472275
Mike Pennel,chiefs,DT,69.0,"6'4""",330,,,Colorado State (Pueblo),,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.472593
Nikko Remigio,chiefs,WR,81.0,"5'9""",187,,,Fresno State,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.473134
Rashee Rice,chiefs,WR,4.0,"6'1""",203,,,SMU,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.473751
Darius Rush,chiefs,CB,46.0,"6'2""",198,,,South Carolina,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.475927
Christian Roland-Wallace,chiefs,CB,30.0,"5'11""",202,,,USC,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.474905
Eric Scott Jr.,chiefs,CB,29.0,"6'2""",202,,,Southern Mississippi,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.476678
Esa Pole,chiefs,OT,79.0,"6'7""",319,,,Washington State,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.472780
Trey Smith,chiefs,G,65.0,"6'6""",321,,,Tennessee,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.477916
Janarius Robinson,chiefs,DE,98.0,"6'5""",263,,,Florida State,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.474737
JuJu Smith-Schuster,chiefs,WR,9.0,"6'1""",215,,,USC,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.478813
Brashard Smith,chiefs,RB,30.0,"5'10""",196,,,SMU,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.477476
Melvin Smith Jr.,chiefs,DB,39.0,"6'1""",185,,,Southern Arkansas,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.478497
Jalen Royals,chiefs,WR,11.0,"6'0""",195,,,Utah State,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.475739
GeorQuarius Spivey,chiefs,TE,,"6'5""",240,,,Mississippi State,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.479031
Kingsley Suamataia,chiefs,OT,76.0,"6'4""",326,,,BYU,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.479832
Josh Simmons,chiefs,OT,71.0,"6'5""",310,,,Ohio State,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.477003
Carson Steele,chiefs,RB,42.0,"6'0""",228,,,UCLA,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.479387
BJ Thompson,chiefs,DE,53.0,"6'6""",243,,,Stephen F. Austin State,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.482228
Tyquan Thornton,chiefs,WR,19.0,"6'2""",185,,,Baylor,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.482509
Jerry Tillery,chiefs,DT,99.0,"6'6""",295,,,Notre Dame,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.482893
Jaylen Watson,chiefs,CB,35.0,"6'2""",197,,,Washington State,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.491508
Marlon Tuipulotu,chiefs,DT,92.0,"6'2""",307,,,USC,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.485424
Robert Tonyan,chiefs,TE,85.0,"6'5""",240,,,Indiana State,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.483456
Jawaan Taylor,chiefs,OT,74.0,"6'5""",330,,,Florida,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.481838
Tre Watson,chiefs,TE,46.0,"6'5""",250,,,Texas A&M,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.492047
Jared Wiley,chiefs,TE,12.0,"6'6""",249,,,TCU,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.492756
Drue Tranquill,chiefs,LB,23.0,"6'2""",234,,,Notre Dame,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.485214
Joshua Williams,chiefs,CB,2.0,"6'3""",193,,,Fayetteville State University,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.494861
Major Williams,chiefs,SAF,,"6'1""",190,,,Carson Newman,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.495937
Nohl Williams,chiefs,CB,20.0,"6'1""",200,,,California,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.496208
James Winchester,chiefs,LS,41.0,"6'3""",209,,,Oklahoma,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.496385
Xavier Worthy,chiefs,WR,1.0,"5'11""",165,,,Texas,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.496477
Elijah Young,chiefs,RB,34.0,"5'10""",198,,,Western Kentucky,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.496642
Bailey Zappe,chiefs,QB,14.0,"6'1""",215,,,Western Kentucky,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.497359
